ID,Link (Data),Min or Max,mm-ssStar_Wars__Episode_I___The_Phantom_Menace,mm-ssStar_Wars__Episode_II___Attack_of_the_Clones,mm-ssStar_Wars__Episode_III___Revenge_of_the_Sith,mm-ssStar_Wars__Episode_IV___A_New_Hope,mm-ssStar_Wars__Episode_V___The_Empire_Strikes_Back,mm-ssStar_Wars__Episode_VI___Return_of_the_Jedi,mm-ssStar_Wars__Episode_VII___The_Force_Awakens,mm-ssStar_Wars__Episode_VIII___The_Last_Jedi,mm-ssStar_Wars__The_Rise_of_Skywalker,Step 1,Step 10,Step 11,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Total mm-ss,CalculationN,Path (Model),Rogue_One__A_Star_Wars_Story,Sigmoid,Solo__A_Star_Wars_Story,Star_Wars__Episode_I___The_Phantom_Menace,Star_Wars__Episode_II___Attack_of_the_Clones,Star_Wars__Episode_III___Revenge_of_the_Sith,Star_Wars__Episode_IV___A_New_Hope,Star_Wars__Episode_V___The_Empire_Strikes_Back,Star_Wars__Episode_VI___Return_of_the_Jedi,Star_Wars__Episode_VII___The_Force_Awakens,Star_Wars__Episode_VIII___The_Last_Jedi,Star_Wars__The_Rise_of_Skywalker,t (Model),Total
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,26,,0.622459331,,210,585,705,,750,240,,120,,0.5,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,26,,0.622459331,,,,,,,,2580,1815,3345,0.5,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,26,,0.622459331,,435,315,300,1080,675,435,75,60,120,0.5,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,26,,0.622459331,,,,,,,,525,735,1545,0.5,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,26,,0.622459331,,1290,1935,1095,,,,,,,0.5,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,26,,0.622459331,,1275,2040,2235,1050,60,135,,,,0.5,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,26,,0.622459331,,,,45,2250,2085,2055,60,1275,165,0.5,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,26,15,0.622459331,,,,30,810,1365,1275,375,525,255,0.5,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,26,,0.622459331,3330,,,,1170,1410,1065,1230,,105,0.5,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,26,,0.622459331,,,,,,,,1905,1050,1485,0.5,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,26,,0.622459331,,435,240,1485,,60,375,,,360,0.5,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,26,,0.622459331,1290,,,60,660,990,630,510,120,555,0.5,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,26,,0.622459331,,120,255,165,1155,870,810,105,150,645,0.5,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,26,,0.622459331,,,,,,,,1140,915,1230,0.5,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,26,180,0.622459331,,1410,2880,3165,555,795,885,,,,0.5,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,27,,0.679178699,,210,585,705,,750,240,,120,,0.75,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,27,,0.679178699,,,,,,,,2580,1815,3345,0.75,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,27,,0.679178699,,435,315,300,1080,675,435,75,60,120,0.75,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,27,,0.679178699,,,,,,,,525,735,1545,0.75,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,27,,0.679178699,,1290,1935,1095,,,,,,,0.75,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,27,,0.679178699,,1275,2040,2235,1050,60,135,,,,0.75,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,27,,0.679178699,,,,45,2250,2085,2055,60,1275,165,0.75,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,27,15,0.679178699,,,,30,810,1365,1275,375,525,255,0.75,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,27,,0.679178699,3330,,,,1170,1410,1065,1230,,105,0.75,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,27,,0.679178699,,,,,,,,1905,1050,1485,0.75,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,27,,0.679178699,,435,240,1485,,60,375,,,360,0.75,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,27,,0.679178699,1290,,,60,660,990,630,510,120,555,0.75,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,27,,0.679178699,,120,255,165,1155,870,810,105,150,645,0.75,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,27,,0.679178699,,,,,,,,1140,915,1230,0.75,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,27,180,0.679178699,,1410,2880,3165,555,795,885,,,,0.75,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,28,,0.731058579,,210,585,705,,750,240,,120,,1,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,28,,0.731058579,,,,,,,,2580,1815,3345,1,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,28,,0.731058579,,435,315,300,1080,675,435,75,60,120,1,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,28,,0.731058579,,,,,,,,525,735,1545,1,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,28,,0.731058579,,1290,1935,1095,,,,,,,1,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,28,,0.731058579,,1275,2040,2235,1050,60,135,,,,1,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,28,,0.731058579,,,,45,2250,2085,2055,60,1275,165,1,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,28,15,0.731058579,,,,30,810,1365,1275,375,525,255,1,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,28,,0.731058579,3330,,,,1170,1410,1065,1230,,105,1,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,28,,0.731058579,,,,,,,,1905,1050,1485,1,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,28,,0.731058579,,435,240,1485,,60,375,,,360,1,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,28,,0.731058579,1290,,,60,660,990,630,510,120,555,1,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,28,,0.731058579,,120,255,165,1155,870,810,105,150,645,1,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,28,,0.731058579,,,,,,,,1140,915,1230,1,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,28,180,0.731058579,,1410,2880,3165,555,795,885,,,,1,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,29,,0.777299861,,210,585,705,,750,240,,120,,1.25,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,29,,0.777299861,,,,,,,,2580,1815,3345,1.25,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,29,,0.777299861,,435,315,300,1080,675,435,75,60,120,1.25,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,29,,0.777299861,,,,,,,,525,735,1545,1.25,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,29,,0.777299861,,1290,1935,1095,,,,,,,1.25,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,29,,0.777299861,,1275,2040,2235,1050,60,135,,,,1.25,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,29,,0.777299861,,,,45,2250,2085,2055,60,1275,165,1.25,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,29,15,0.777299861,,,,30,810,1365,1275,375,525,255,1.25,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,29,,0.777299861,3330,,,,1170,1410,1065,1230,,105,1.25,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,29,,0.777299861,,,,,,,,1905,1050,1485,1.25,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,29,,0.777299861,,435,240,1485,,60,375,,,360,1.25,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,29,,0.777299861,1290,,,60,660,990,630,510,120,555,1.25,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,29,,0.777299861,,120,255,165,1155,870,810,105,150,645,1.25,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,29,,0.777299861,,,,,,,,1140,915,1230,1.25,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,29,180,0.777299861,,1410,2880,3165,555,795,885,,,,1.25,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,30,,0.817574476,,210,585,705,,750,240,,120,,1.5,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,30,,0.817574476,,,,,,,,2580,1815,3345,1.5,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,30,,0.817574476,,435,315,300,1080,675,435,75,60,120,1.5,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,30,,0.817574476,,,,,,,,525,735,1545,1.5,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,30,,0.817574476,,1290,1935,1095,,,,,,,1.5,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,30,,0.817574476,,1275,2040,2235,1050,60,135,,,,1.5,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,30,,0.817574476,,,,45,2250,2085,2055,60,1275,165,1.5,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,30,15,0.817574476,,,,30,810,1365,1275,375,525,255,1.5,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,30,,0.817574476,3330,,,,1170,1410,1065,1230,,105,1.5,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,30,,0.817574476,,,,,,,,1905,1050,1485,1.5,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,30,,0.817574476,,435,240,1485,,60,375,,,360,1.5,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,30,,0.817574476,1290,,,60,660,990,630,510,120,555,1.5,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,30,,0.817574476,,120,255,165,1155,870,810,105,150,645,1.5,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,30,,0.817574476,,,,,,,,1140,915,1230,1.5,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,30,180,0.817574476,,1410,2880,3165,555,795,885,,,,1.5,9690
